"","MSSubClass.30","MSSubClass.40","MSSubClass.45","MSSubClass.50","MSSubClass.60","MSSubClass.70","MSSubClass.75","MSSubClass.80","MSSubClass.85","MSSubClass.90","MSSubClass.120","MSSubClass.150","MSSubClass.160","MSSubClass.180","MSSubClass.190","MSZoning.FV","MSZoning.RH","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","Street.Pave","Alley.NoAlley","Alley.Pave","LotShape.IR2","LotShape.IR3","LotShape.Reg","LandContour.HLS","LandContour.Low","LandContour.Lvl","Utilities.NoSeWa","LotConfig.CulDSac","LotConfig.FR2","LotConfig.FR3","LotConfig.Inside","LandSlope.Mod","LandSlope.Sev","Neighborhood.Blueste","Neighborhood.BrDale","Neighborhood.BrkSide","Neighborhood.ClearCr","Neighborhood.CollgCr","Neighborhood.Crawfor","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.IDOTRR","Neighborhood.MeadowV","Neighborhood.Mitchel","Neighborhood.NAmes","Neighborhood.NoRidge","Neighborhood.NPkVill","Neighborhood.NridgHt","Neighborhood.NWAmes","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.SawyerW","Neighborhood.Somerst","Neighborhood.StoneBr","Neighborhood.SWISU","Neighborhood.Timber","Neighborhood.Veenker","Condition1.Feedr","Condition1.Norm","Condition1.PosA","Condition1.PosN","Condition1.RRAe","Condition1.RRAn","Condition1.RRNe","Condition1.RRNn","Condition2.Feedr","Condition2.Norm","Condition2.PosA","Condition2.PosN","Condition2.RRAe","Condition2.RRAn","Condition2.RRNn","BldgType.2fmCon","BldgType.Duplex","BldgType.Twnhs","BldgType.TwnhsE","HouseStyle.1.5Unf","HouseStyle.1Story","HouseStyle.2.5Fin","HouseStyle.2.5Unf","HouseStyle.2Story","HouseStyle.SFoyer","HouseStyle.SLvl","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle.Gable","RoofStyle.Gambrel","RoofStyle.Hip","RoofStyle.Mansard","RoofStyle.Shed","RoofMatl.Membran","RoofMatl.Metal","RoofMatl.Roll","RoofMatl.Tar.Grv","RoofMatl.WdShake","RoofMatl.WdShngl","Exterior1st.AsphShn","Exterior1st.BrkComm","Exterior1st.BrkFace","Exterior1st.CBlock","Exterior1st.CemntBd","Exterior1st.HdBoard","Exterior1st.ImStucc","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.Stone","Exterior1st.Stucco","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior1st.WdShing","Exterior2nd.AsphShn","Exterior2nd.Brk.Cmn","Exterior2nd.BrkFace","Exterior2nd.CBlock","Exterior2nd.CmentBd","Exterior2nd.HdBoard","Exterior2nd.ImStucc","Exterior2nd.MetalSd","Exterior2nd.Other","Exterior2nd.Plywood","Exterior2nd.Stone","Exterior2nd.Stucco","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","Exterior2nd.Wd.Shng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Fa","ExterQual.Gd","ExterQual.TA","ExterCond.Fa","ExterCond.Gd","ExterCond.Po","ExterCond.TA","Foundation.CBlock","Foundation.PConc","Foundation.Slab","Foundation.Stone","Foundation.Wood","BsmtQual.Fa","BsmtQual.Gd","BsmtQual.NoBasement","BsmtQual.TA","BsmtCond.Gd","BsmtCond.NoBasement","BsmtCond.Po","BsmtCond.TA","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtExposure.NoBasement","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.NoBasement","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.BLQ","BsmtFinType2.GLQ","BsmtFinType2.LwQ","BsmtFinType2.NoBasement","BsmtFinType2.Rec","BsmtFinType2.Unf","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating.GasA","Heating.GasW","Heating.Grav","Heating.OthW","Heating.Wall","HeatingQC.Fa","HeatingQC.Gd","HeatingQC.Po","HeatingQC.TA","CentralAir.Y","Electrical.FuseF","Electrical.FuseP","Electrical.Mix","Electrical.SBrkr","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual.Fa","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Maj2","Functional.Min1","Functional.Min2","Functional.Mod","Functional.Sev","Functional.Typ","Functional.None","Fireplaces","FireplaceQu.Fa","FireplaceQu.Gd","FireplaceQu.NoFireplace","FireplaceQu.Po","FireplaceQu.TA","GarageType.Attchd","GarageType.Basment","GarageType.BuiltIn","GarageType.CarPort","GarageType.Detchd","GarageType.NoGarage","GarageYrBlt","GarageFinish.NoGarage","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageArea","GarageQual.Fa","GarageQual.Gd","GarageQual.NoGarage","GarageQual.Po","GarageQual.TA","GarageCond.Fa","GarageCond.Gd","GarageCond.NoGarage","GarageCond.Po","GarageCond.TA","PavedDrive.P","PavedDrive.Y","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC.Fa","PoolQC.Gd","PoolQC.NoPool","Fence.GdWo","Fence.MnPrv","Fence.MnWw","Fence.NoFence","MiscFeature.None","MiscFeature.Othr","MiscFeature.Shed","MiscFeature.TenC","MiscVal","MoSold","YrSold","SaleType.Con","SaleType.ConLD","SaleType.ConLI","SaleType.ConLw","SaleType.CWD","SaleType.New","SaleType.Oth","SaleType.WD","SaleCondition.AdjLand","SaleCondition.Alloca","SaleCondition.Family","SaleCondition.Normal","SaleCondition.Partial"
"1457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.39444915467244,9.36074117264371,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,1961,1961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6.15060276844628,0,0,0,0,1,0,4.97673374242057,5.6021188208797,882,1,0,0,0,0,0,0,0,1,1,0,0,0,1,6.7990558620588,0,0,6.7990558620588,0,0,1,0,2,0.693147180559945,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1961,0,0,1,1,730,0,0,0,0,1,0,0,0,0,1,0,1,4.94875989037817,0,0,0,4.79579054559674,0,0,0,1,0,1,0,0,1,0,0,0,0,6,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.40671924726425,9.56577454647878,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,1958,1958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.69134788222914,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6.82871207164168,0,0,0,0,0,0,0,6.00881318544259,1329,1,0,0,0,0,0,0,0,1,1,0,0,0,1,7.1929342212158,0,0,7.1929342212158,0,0,1,1,3,0.693147180559945,0,1,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1958,0,0,1,1,312,0,0,0,0,1,0,0,0,0,1,0,1,5.97635090929793,3.61091791264422,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9.43356392009056,6,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1459",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.31748811353631,9.53466772862471,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1997,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6.67456139181443,0,1,0,0,0,0,0,4.92725368515721,928,1,0,0,0,0,0,1,0,0,1,0,0,0,1,6.83410873881384,6.55393340402581,0,7.39633529380081,0,0,2,1,3,0.693147180559945,0,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1997,0,0,0,2,482,0,0,0,0,1,0,0,0,0,1,0,1,5.36129216570943,3.55534806148941,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1460",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.36944785246702,9.20823816388431,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,1998,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3.04452243772342,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6.40191719672719,0,1,0,0,0,0,0,5.78382518232974,926,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6.83195356556585,6.5206211275587,0,7.38087903556412,0,0,2,1,3,0.693147180559945,0,1,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1998,0,0,0,2,470,0,0,0,0,1,0,0,0,0,1,0,1,5.88887795833288,3.61091791264422,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1461",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.78418963391826,8.51839247199172,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,5,1992,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.57594910314632,0,0,0,0,0,0,0,6.92559519711047,1280,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7.15539630189673,0,0,7.15539630189673,0,0,2,0,2,0.693147180559945,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1992,0,1,0,2,506,0,0,0,0,1,0,0,0,0,1,0,1,0,4.4188406077966,0,0,4.97673374242057,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1462",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.33073334028633,9.21044036697652,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,1993,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.63856778916652,763,1,0,0,0,0,0,1,0,0,1,0,0,0,1,6.63856778916652,6.7945865808765,0,7.4121603349452,0,0,2,1,3,0.693147180559945,0,0,1,7,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1993,0,0,0,2,440,0,0,0,0,1,0,0,0,0,1,0,1,5.06259503302697,4.44265125649032,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.17438726989564,8.98481899587601,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,1992,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6.84161547647759,0,0,0,0,0,0,0,5.4553211153577,1168,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7.08002649992259,0,0,7.08002649992259,1,0,2,0,3,0.693147180559945,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1992,0,0,0,2,420,0,0,0,0,1,0,0,0,0,1,0,1,6.18208490671663,3.09104245335832,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.21660610108486,3,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1464",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.15888308335967,9.03634406392822,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,1998,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.67203294546107,789,1,0,0,0,0,0,1,0,0,1,0,0,0,1,6.67203294546107,6.51767127291227,0,7.2902928824466,0,0,2,1,3,0.693147180559945,0,0,1,7,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1998,0,0,0,2,393,0,0,0,0,1,0,0,0,0,1,0,1,0,4.33073334028633,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.45434729625351,9.22788555119193,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,1990,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6.45833828334479,0,1,0,0,0,0,0,6.49828214947643,1300,1,0,0,0,0,0,1,0,0,1,0,0,0,1,7.20191631753163,0,0,7.20191631753163,1,0,1,1,2,0.693147180559945,0,1,0,5,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1990,0,0,1,2,506,0,0,0,0,1,0,0,0,0,1,0,1,5.26269018890489,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
"1466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.26267987704132,9.03610602536485,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,1970,1970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6.69084227741856,0,0,0,0,0,0,4.36944785246702,0,882,1,0,0,0,0,0,0,0,1,1,0,0,0,1,6.78332520060396,0,0,6.78332520060396,1,0,1,0,2,0.693147180559945,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1970,0,0,0,2,525,0,0,0,0,1,0,0,0,0,1,0,1,5.48479693349065,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,1,0,0,0,1,0
